Genome,Order,Family,Genus,preVC,VC Status,VC,VC Size,Quality,Adjusted P-value,VC Avg Distance,Topology Confidence Score,Genus Confidence Score,VC Orders,VC Families,VC Genera
Archaeal~BJ1~virus,Unassigned,Unassigned,Unassigned,preVC_61,Clustered,VC_61_0,2,0.8809,0.33333333,4.0,0.2936,1.0,0,0,0
Arthrobacter~phage~BarretLemon,Caudovirales,Myoviridae,Chippewavirus,preVC_62,Clustered,VC_62_0,2,1.0,0.0,5.5677643628300215,0.0,1.0,1,1,2
Arthrobacter~phage~Decurro,Caudovirales,Siphoviridae,Decurrovirus,,Outlier,,,,,,,,,,
Arthrobacter~phage~KellEzio,Caudovirales,Siphoviridae,Kelleziovirus,preVC_64,Clustered,VC_64_0,2,1.0,0.0,1.4142135623730951,0.0,1.0,1,1,1
Arthrobacter~phage~Kitkat,Caudovirales,Siphoviridae,Kelleziovirus,preVC_64,Clustered,VC_64_0,2,1.0,0.0,1.4142135623730951,0.0,1.0,1,1,1
Arthrobacter~phage~Mudcat,Caudovirales,Siphoviridae,Mudcatvirus,preVC_66,Clustered,VC_66_0,6,0.3227,0.99999989,7.723211419972672,0.3227,1.0,1,1,1
Arthrobacter~phage~vB_ArS-ArV2,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Arthrobacter~phage~vB_ArtM-ArV1,Caudovirales,Myoviridae,Arvunavirus,preVC_62,Clustered,VC_62_0,2,1.0,0.0,5.5677643628300215,0.0,1.0,1,1,2
Aurantimonas~phage~AmM-1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Azospirillum~phage~Cd,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Bacillus~phage~0305phi8-36,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Bacillus~phage~AR9,Unassigned,Unassigned,Unassigned,preVC_73,Clustered/Singleton,VC_73_0,1,0.0,0.0,0,0.0,1.0,0,0,0
Bacillus~phage~Aurora,Unassigned,Unassigned,Unassigned,preVC_42,Clustered,VC_42_0,4,0.6894,0.99984756,2.7772138474261165,0.6893,1.0,0,0,0
Bacillus~phage~AvesoBmore,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_2,5,0.0979,0.99999972,7.194695752356277,0.0979,1.0,1,1,1
Bacillus~phage~B4,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_3,2,0.0231,0.87523266,8.366600265340756,0.0202,1.0,1,1,1
Bacillus~phage~BCD7,Unassigned,Unassigned,Unassigned,,Singleton,,,,,,,,,,
Bacillus~phage~BCJA1c,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~BCP78,Caudovirales,Myoviridae,Tsarbombavirus,preVC_74,Clustered,VC_74_5,2,0.0275,0.91082522,5.196152422706632,0.0251,1.0,1,1,1
Bacillus~phage~BCP8-2,Caudovirales,Myoviridae,Bc431virus,preVC_74,Clustered,VC_74_6,5,0.1178,0.99999992,8.308193113848223,0.1178,0.7,1,1,1
Bacillus~phage~BM5,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~BPS10C,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_4,4,0.0683,0.99793432,7.033976014470684,0.0682,1.0,1,1,1
Bacillus~phage~BPS13,Caudovirales,Myoviridae,Wphvirus,preVC_74,Clustered,VC_74_4,4,0.0683,0.99793432,7.033976014470684,0.0682,1.0,1,1,1
Bacillus~phage~BalMu-1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~Bam35c,Unassigned,Tectiviridae,Betatectivirus,preVC_107,Clustered,VC_107_0,4,1.0,0.0,3.872657545992025,0.0,1.0,0,1,1
Bacillus~phage~Bastille,Caudovirales,Myoviridae,Bastillevirus,preVC_74,Clustered,VC_74_1,4,0.0719,0.99996907,6.044893186969472,0.0719,1.0,1,1,1
Bacillus~phage~Bcp1,Caudovirales,Myoviridae,Bc431virus,preVC_74,Clustered,VC_74_6,5,0.1178,0.99999992,8.308193113848223,0.1178,0.7,1,1,1
Bacillus~phage~Belinda,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~BigBertha,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_2,5,0.0979,0.99999972,7.194695752356277,0.0979,1.0,1,1,1
Bacillus~phage~Bobb,Caudovirales,Myoviridae,Agatevirus,preVC_74,Clustered,VC_74_7,3,0.0708,0.99695677,7.408182927544495,0.0705,1.0,1,1,1
Bacillus~phage~Bp8p-C,Caudovirales,Myoviridae,Agatevirus,preVC_74,Clustered,VC_74_7,3,0.0708,0.99695677,7.408182927544495,0.0705,1.0,1,1,1
Bacillus~phage~BtCS33,Unassigned,Unassigned,Unassigned,,Overlap (VC_110/VC_111),,,,,,,,,,
Bacillus~phage~CAM003,Caudovirales,Myoviridae,Bastillevirus,preVC_74,Clustered,VC_74_1,4,0.0719,0.99996907,6.044893186969472,0.0719,1.0,1,1,1
Bacillus~phage~CP-51,Caudovirales,Myoviridae,Cp51virus,preVC_75,Clustered,VC_75_1,3,0.5583,0.99388213,4.712201531547717,0.5548,1.0,1,1,1
Bacillus~phage~CampHawk,Caudovirales,Myoviridae,Spo1virus,preVC_75,Clustered,VC_75_0,2,0.2606,0.90559886,2.6457513110645907,0.236,1.0,1,1,1
Bacillus~phage~Claudi,Unassigned,Unassigned,Unassigned,preVC_42,Clustered,VC_42_0,4,0.6894,0.99984756,2.7772138474261165,0.6893,1.0,0,0,0
Bacillus~phage~DIGNKC,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Deep~Blue,Caudovirales,Myoviridae,Bc431virus,preVC_74,Clustered,VC_74_6,5,0.1178,0.99999992,8.308193113848223,0.1178,0.7,1,1,1
Bacillus~phage~DirtyBetty,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Eldridge,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_9,2,0.0334,0.91161096,8.602325267042627,0.0304,1.0,1,1,0
Bacillus~phage~Evoli,Caudovirales,Myoviridae,Bastillevirus,preVC_74,Clustered,VC_74_1,4,0.0719,0.99996907,6.044893186969472,0.0719,1.0,1,1,1
Bacillus~phage~Eyuki,Caudovirales,Myoviridae,Wphvirus,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Fah,Unassigned,Unassigned,Unassigned,preVC_109,Clustered,VC_109_0,3,0.4371,0.99580268,2.7937066308671263,0.4352,1.0,1,1,1
Bacillus~phage~GIL16c,Unassigned,Tectiviridae,Betatectivirus,preVC_107,Clustered,VC_107_0,4,1.0,0.0,3.872657545992025,0.0,1.0,0,1,1
Bacillus~phage~Gamma,Unassigned,Unassigned,Unassigned,preVC_109,Clustered,VC_109_0,3,0.4371,0.99580268,2.7937066308671263,0.4352,1.0,1,1,1
Bacillus~phage~Grass,Caudovirales,Myoviridae,Nit1virus,preVC_74,Clustered,VC_74_8,2,0.0352,0.91181477,6.324555320336759,0.0321,1.0,1,1,1
Bacillus~phage~Hakuna,Caudovirales,Myoviridae,Wphvirus,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Hoody~T,Caudovirales,Myoviridae,Bastillevirus,preVC_74,Clustered,VC_74_1,4,0.0719,0.99996907,6.044893186969472,0.0719,1.0,1,1,1
Bacillus~phage~JBP901,Caudovirales,Myoviridae,Bc431virus,preVC_74,Clustered,VC_74_6,5,0.1178,0.99999992,8.308193113848223,0.1178,0.7,1,1,1
Bacillus~phage~JL,Caudovirales,Myoviridae,Cp51virus,preVC_75,Clustered,VC_75_1,3,0.5583,0.99388213,4.712201531547717,0.5548,1.0,1,1,1
Bacillus~phage~Kida,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~MG-B1,Unassigned,Unassigned,Unassigned,preVC_42,Clustered,VC_42_0,4,0.6894,0.99984756,2.7772138474261165,0.6893,1.0,0,0,0
Bacillus~phage~Mater,Caudovirales,Myoviridae,Unassigned,preVC_74,Clustered/Singleton,VC_74_10,1,0.0,0.0,0,0.0,1.0,1,1,0
Bacillus~phage~Megatron,Caudovirales,Myoviridae,Wphvirus,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Moonbeam,Caudovirales,Myoviridae,Unassigned,preVC_74,Clustered,VC_74_9,2,0.0334,0.91161096,8.602325267042627,0.0304,1.0,1,1,0
Bacillus~phage~Nemo,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~Nigalana,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~NotTheCreek,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~PBC1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~PM1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~Page,Caudovirales,Podoviridae,Pagevirus,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~Palmer,Caudovirales,Podoviridae,Pagevirus,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~Pascal,Caudovirales,Podoviridae,Pagevirus,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~Pavlov,Unassigned,Unassigned,Unassigned,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~PfEFR-5,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~Phrodo,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_2,5,0.0979,0.99999972,7.194695752356277,0.0979,1.0,1,1,1
Bacillus~phage~Pony,Caudovirales,Podoviridae,Pagevirus,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~Pookie,Caudovirales,Podoviridae,Pagevirus,preVC_92,Clustered,VC_92_0,6,0.8794,0.99999667,2.6967184895339824,0.8794,1.0,1,1,1
Bacillus~phage~Riley,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_2,5,0.0979,0.99999972,7.194695752356277,0.0979,1.0,1,1,1
Bacillus~phage~SP-10,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~SP-15,Unassigned,Unassigned,Unassigned,preVC_127,Clustered/Singleton,VC_127_0,1,0.0,0.0,0,0.0,1.0,0,0,0
Bacillus~phage~SPBc2,Caudovirales,Siphoviridae,Spbetavirus,,Overlap (VC_77/VC_129),,,,,,,,,,
Bacillus~phage~SPG24,Caudovirales,Myoviridae,Nit1virus,,Outlier,,,,,,,,,,
Bacillus~phage~SPP1,Unassigned,Unassigned,Unassigned,preVC_116,Clustered,VC_116_0,2,0.1823,0.89430282,6.928203230275509,0.1631,1.0,0,0,0
Bacillus~phage~SageFayge,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~SalinJah,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_4,4,0.0683,0.99793432,7.033976014470684,0.0682,1.0,1,1,1
Bacillus~phage~Shanette,Caudovirales,Myoviridae,Cp51virus,preVC_75,Clustered,VC_75_1,3,0.5583,0.99388213,4.712201531547717,0.5548,1.0,1,1,1
Bacillus~phage~Shbh1,Unassigned,Unassigned,Unassigned,preVC_74,Clustered/Singleton,VC_74_11,1,0.0,0.0,0,0.0,1.0,0,0,0
Bacillus~phage~Slash,Caudovirales,Siphoviridae,Slashvirus,preVC_134,Clustered,VC_134_0,4,1.0,0.0,4.281872265679157,0.0,1.0,1,1,1
Bacillus~phage~Spock,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_3,2,0.0231,0.87523266,8.366600265340756,0.0202,1.0,1,1,1
Bacillus~phage~Stahl,Caudovirales,Siphoviridae,Slashvirus,preVC_134,Clustered,VC_134_0,4,1.0,0.0,4.281872265679157,0.0,1.0,1,1,1
Bacillus~phage~Staley,Caudovirales,Siphoviridae,Slashvirus,preVC_134,Clustered,VC_134_0,4,1.0,0.0,4.281872265679157,0.0,1.0,1,1,1
Bacillus~phage~Stills,Caudovirales,Siphoviridae,Slashvirus,preVC_134,Clustered,VC_134_0,4,1.0,0.0,4.281872265679157,0.0,1.0,1,1,1
Bacillus~phage~Stitch,Unassigned,Unassigned,Unassigned,preVC_42,Clustered,VC_42_0,4,0.6894,0.99984756,2.7772138474261165,0.6893,1.0,0,0,0
Bacillus~phage~TP21-L,Caudovirales,Siphoviridae,Tp21virus,preVC_112,Clustered,VC_112_0,2,0.8492,0.33333333,2.23606797749979,0.2831,1.0,1,1,1
Bacillus~phage~Troll,Caudovirales,Myoviridae,B4virus,preVC_74,Clustered,VC_74_2,5,0.0979,0.99999972,7.194695752356277,0.0979,1.0,1,1,1
Bacillus~phage~TsarBomba,Caudovirales,Myoviridae,Tsarbombavirus,preVC_74,Clustered,VC_74_5,2,0.0275,0.91082522,5.196152422706632,0.0251,1.0,1,1,1
Bacillus~phage~VMY22,Unassigned,Unassigned,Unassigned,,Overlap (VC_43/VC_45),,,,,,,,,,
Bacillus~phage~W.Ph.,Caudovirales,Myoviridae,Wphvirus,preVC_74,Clustered,VC_74_4,4,0.0683,0.99793432,7.033976014470684,0.0682,1.0,1,1,1
Bacillus~phage~Waukesha92,Unassigned,Unassigned,Unassigned,,Overlap (VC_111/VC_112),,,,,,,,,,
Bacillus~phage~Wip1,Unassigned,Tectiviridae,Betatectivirus,preVC_107,Clustered,VC_107_0,4,1.0,0.0,3.872657545992025,0.0,1.0,0,1,1
Bacillus~phage~Zuko,Unassigned,Unassigned,Unassigned,preVC_74,Clustered,VC_74_0,12,0.3046,1.0,5.547624613778203,0.3046,1.0,1,1,1
Bacillus~phage~phBC6A51,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~phBC6A52,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~phIS3501,Unassigned,Unassigned,Unassigned,,Overlap (VC_110/VC_111),,,,,,,,,,
Bacillus~phage~phi105,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~phi4B1,Unassigned,Unassigned,Unassigned,,Outlier,,,,,,,,,,
Bacillus~phage~phi4J1,Unassigned,Unassigned,Unassigned,,Overlap (VC_111/VC_112),,,,,,,,,,
